2020-05-24 14:32:53,309 Model(
  (ad_id_embedding): Embedding(579847, 256, padding_idx=0)
  (product_id_embedding): Embedding(11108, 256, padding_idx=0)
  (product_category_embedding): Embedding(20, 8, padding_idx=0)
  (advertiser_id_embedding): Embedding(24366, 256, padding_idx=0)
  (industry_embedding): Embedding(302, 32, padding_idx=0)
  (gru): GRU(808, 128, batch_first=True, bidirectional=True)
  (fc): Sequential(
    (0): Dropout(p=0.3)
    (1): Linear(in_features=256, out_features=128, bias=True)
    (2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (3): LeakyReLU(negative_slope=0.01, inplace)
    (4): Linear(in_features=128, out_features=10, bias=True)
  )
)
2020-05-24 14:33:02,056 start loading data ...
2020-05-24 14:35:17,628 load data success, Time usage: 0:02:16
2020-05-24 14:35:17,846 Epoch [1/5]
2020-05-24 14:50:08,798 Iter:   2800,  Train Loss:  1.43,  Train Acc: 42.19%,  Val Loss:  1.43,  Val Acc: 42.02%,  Val Auc:    0.0,  Time: 0:14:51 *
2020-05-24 14:50:39,983 Iter:   2900,  Train Loss:  1.33,  Train Acc: 42.19%,  Val Loss:  1.42,  Val Acc: 42.16%,  Val Auc:    0.0,  Time: 0:15:22 *
2020-05-24 14:51:12,292 Iter:   3000,  Train Loss:  1.56,  Train Acc: 32.81%,  Val Loss:  1.42,  Val Acc: 42.36%,  Val Auc:    0.0,  Time: 0:15:55 *
2020-05-24 14:51:44,788 Iter:   3100,  Train Loss:  1.52,  Train Acc: 34.38%,  Val Loss:  1.42,  Val Acc: 41.99%,  Val Auc:    0.0,  Time: 0:16:27 *
2020-05-24 14:52:12,552 Iter:   3200,  Train Loss:  1.48,  Train Acc: 39.06%,  Val Loss:  1.42,  Val Acc: 42.15%,  Val Auc:    0.0,  Time: 0:16:55 
2020-05-24 14:52:39,706 Iter:   3300,  Train Loss:  1.26,  Train Acc: 45.31%,  Val Loss:  1.42,  Val Acc: 41.80%,  Val Auc:    0.0,  Time: 0:17:22 
2020-05-24 14:53:09,999 Iter:   3400,  Train Loss:   1.4,  Train Acc: 43.75%,  Val Loss:  1.41,  Val Acc: 42.43%,  Val Auc:    0.0,  Time: 0:17:52 *
2020-05-24 14:53:41,207 Iter:   3500,  Train Loss:  1.52,  Train Acc: 43.75%,  Val Loss:  1.41,  Val Acc: 42.45%,  Val Auc:    0.0,  Time: 0:18:24 *
2020-05-24 14:54:09,863 Iter:   3600,  Train Loss:   1.3,  Train Acc: 40.62%,  Val Loss:  1.41,  Val Acc: 42.18%,  Val Auc:    0.0,  Time: 0:18:52 
2020-05-24 14:54:37,769 Iter:   3700,  Train Loss:  1.38,  Train Acc: 48.44%,  Val Loss:  1.41,  Val Acc: 42.32%,  Val Auc:    0.0,  Time: 0:19:20 
2020-05-24 14:55:10,201 Iter:   3800,  Train Loss:  1.55,  Train Acc: 43.75%,  Val Loss:  1.41,  Val Acc: 42.64%,  Val Auc:    0.0,  Time: 0:19:53 *
2020-05-24 14:55:40,466 Iter:   3900,  Train Loss:   1.6,  Train Acc: 43.75%,  Val Loss:   1.4,  Val Acc: 42.76%,  Val Auc:    0.0,  Time: 0:20:23 *
2020-05-24 14:56:10,077 Iter:   4000,  Train Loss:  1.34,  Train Acc: 54.69%,  Val Loss:   1.4,  Val Acc: 42.74%,  Val Auc:    0.0,  Time: 0:20:52 
2020-05-24 14:56:41,907 Iter:   4100,  Train Loss:  1.37,  Train Acc: 43.75%,  Val Loss:   1.4,  Val Acc: 43.07%,  Val Auc:    0.0,  Time: 0:21:24 *
2020-05-24 14:57:06,841 Iter:   4200,  Train Loss:  1.41,  Train Acc: 31.25%,  Val Loss:   1.4,  Val Acc: 42.66%,  Val Auc:    0.0,  Time: 0:21:49 
2020-05-24 14:57:36,297 Iter:   4300,  Train Loss:  1.55,  Train Acc: 39.06%,  Val Loss:   1.4,  Val Acc: 42.93%,  Val Auc:    0.0,  Time: 0:22:19 *
2020-05-24 14:58:03,939 Iter:   4400,  Train Loss:  1.25,  Train Acc: 46.88%,  Val Loss:   1.4,  Val Acc: 42.86%,  Val Auc:    0.0,  Time: 0:22:46 
2020-05-24 14:58:32,016 Iter:   4500,  Train Loss:   1.3,  Train Acc: 53.12%,  Val Loss:  1.39,  Val Acc: 43.14%,  Val Auc:    0.0,  Time: 0:23:14 *
2020-05-24 14:59:05,118 Iter:   4600,  Train Loss:  1.35,  Train Acc: 46.88%,  Val Loss:  1.39,  Val Acc: 43.40%,  Val Auc:    0.0,  Time: 0:23:47 *
2020-05-24 14:59:33,568 Iter:   4700,  Train Loss:  1.36,  Train Acc: 46.88%,  Val Loss:  1.39,  Val Acc: 43.35%,  Val Auc:    0.0,  Time: 0:24:16 
2020-05-24 15:00:05,186 Iter:   4800,  Train Loss:  1.35,  Train Acc: 42.19%,  Val Loss:  1.38,  Val Acc: 43.38%,  Val Auc:    0.0,  Time: 0:24:48 *
2020-05-24 15:00:31,258 Iter:   4900,  Train Loss:  1.27,  Train Acc: 39.06%,  Val Loss:  1.39,  Val Acc: 43.24%,  Val Auc:    0.0,  Time: 0:25:14 
2020-05-24 15:00:57,589 Iter:   5000,  Train Loss:  1.46,  Train Acc: 32.81%,  Val Loss:  1.38,  Val Acc: 43.48%,  Val Auc:    0.0,  Time: 0:25:40 
2020-05-24 15:01:22,008 Iter:   5100,  Train Loss:  1.44,  Train Acc: 43.75%,  Val Loss:  1.38,  Val Acc: 43.56%,  Val Auc:    0.0,  Time: 0:26:04 
2020-05-24 15:01:52,762 Iter:   5200,  Train Loss:  1.34,  Train Acc: 37.50%,  Val Loss:  1.38,  Val Acc: 43.47%,  Val Auc:    0.0,  Time: 0:26:35 *
2020-05-24 15:02:25,870 Iter:   5300,  Train Loss:  1.53,  Train Acc: 42.19%,  Val Loss:  1.38,  Val Acc: 43.87%,  Val Auc:    0.0,  Time: 0:27:08 *
2020-05-24 15:02:51,080 Iter:   5400,  Train Loss:  1.51,  Train Acc: 40.62%,  Val Loss:  1.38,  Val Acc: 43.53%,  Val Auc:    0.0,  Time: 0:27:33 
2020-05-24 15:03:17,856 Iter:   5500,  Train Loss:  1.32,  Train Acc: 46.88%,  Val Loss:  1.38,  Val Acc: 43.77%,  Val Auc:    0.0,  Time: 0:28:00 
2020-05-24 15:03:48,920 Iter:   5600,  Train Loss:  1.48,  Train Acc: 45.31%,  Val Loss:  1.38,  Val Acc: 43.86%,  Val Auc:    0.0,  Time: 0:28:31 *
2020-05-24 15:04:13,360 Iter:   5700,  Train Loss:  1.53,  Train Acc: 42.19%,  Val Loss:  1.38,  Val Acc: 43.68%,  Val Auc:    0.0,  Time: 0:28:56 
2020-05-24 15:04:44,514 Iter:   5800,  Train Loss:  1.55,  Train Acc: 37.50%,  Val Loss:  1.37,  Val Acc: 43.80%,  Val Auc:    0.0,  Time: 0:29:27 *
2020-05-24 15:05:11,752 Iter:   5900,  Train Loss:  1.68,  Train Acc: 34.38%,  Val Loss:  1.37,  Val Acc: 43.88%,  Val Auc:    0.0,  Time: 0:29:54 
2020-05-24 15:05:38,345 Iter:   6000,  Train Loss:  1.17,  Train Acc: 53.12%,  Val Loss:  1.37,  Val Acc: 43.80%,  Val Auc:    0.0,  Time: 0:30:21 
2020-05-24 15:06:09,976 Iter:   6100,  Train Loss:  1.38,  Train Acc: 40.62%,  Val Loss:  1.37,  Val Acc: 43.99%,  Val Auc:    0.0,  Time: 0:30:52 *
2020-05-24 15:06:40,688 Iter:   6200,  Train Loss:  1.48,  Train Acc: 43.75%,  Val Loss:  1.37,  Val Acc: 44.22%,  Val Auc:    0.0,  Time: 0:31:23 *
2020-05-24 15:07:06,158 Iter:   6300,  Train Loss:  1.38,  Train Acc: 32.81%,  Val Loss:  1.37,  Val Acc: 43.92%,  Val Auc:    0.0,  Time: 0:31:49 
2020-05-24 15:07:37,368 Iter:   6400,  Train Loss:  1.45,  Train Acc: 46.88%,  Val Loss:  1.36,  Val Acc: 44.31%,  Val Auc:    0.0,  Time: 0:32:20 *
2020-05-24 15:08:04,848 Iter:   6500,  Train Loss:  1.38,  Train Acc: 42.19%,  Val Loss:  1.37,  Val Acc: 43.80%,  Val Auc:    0.0,  Time: 0:32:47 
2020-05-24 15:08:30,531 Iter:   6600,  Train Loss:   1.5,  Train Acc: 34.38%,  Val Loss:  1.37,  Val Acc: 43.96%,  Val Auc:    0.0,  Time: 0:33:13 
2020-05-24 15:08:56,531 Iter:   6700,  Train Loss:  1.43,  Train Acc: 48.44%,  Val Loss:  1.37,  Val Acc: 43.75%,  Val Auc:    0.0,  Time: 0:33:39 
