2020-05-24 21:21:10,289 Model(
  (ad_id_embedding): Embedding(579847, 256, padding_idx=0)
  (product_id_embedding): Embedding(11108, 256, padding_idx=0)
  (product_category_embedding): Embedding(20, 8, padding_idx=0)
  (advertiser_id_embedding): Embedding(24366, 256, padding_idx=0)
  (industry_embedding): Embedding(302, 32, padding_idx=0)
  (fc): Sequential(
    (0): Dropout(p=0.3)
    (1): Linear(in_features=808, out_features=10, bias=True)
  )
)
2020-05-24 21:21:18,366 start loading data ...
2020-05-24 21:23:03,416 load data success, Time usage: 0:01:45
2020-05-24 21:23:03,421 Epoch [1/5]
2020-05-24 21:30:19,797 Iter:   2900,  Train Loss:  1.65,  Train Acc: 32.81%,  Val Loss:   1.7,  Val Acc: 33.63%,  Val Auc:    0.0,  Time: 0:07:16 *
2020-05-24 21:30:34,919 Iter:   3000,  Train Loss:  1.63,  Train Acc: 39.06%,  Val Loss:  1.69,  Val Acc: 33.70%,  Val Auc:    0.0,  Time: 0:07:31 *
2020-05-24 21:30:49,395 Iter:   3100,  Train Loss:  1.72,  Train Acc: 33.59%,  Val Loss:  1.69,  Val Acc: 33.93%,  Val Auc:    0.0,  Time: 0:07:46 *
2020-05-24 21:31:03,561 Iter:   3200,  Train Loss:  1.67,  Train Acc: 33.59%,  Val Loss:  1.68,  Val Acc: 34.35%,  Val Auc:    0.0,  Time: 0:08:00 *
2020-05-24 21:31:17,997 Iter:   3300,  Train Loss:  1.63,  Train Acc: 35.94%,  Val Loss:  1.68,  Val Acc: 34.47%,  Val Auc:    0.0,  Time: 0:08:15 *
2020-05-24 21:31:31,859 Iter:   3400,  Train Loss:  1.64,  Train Acc: 35.94%,  Val Loss:  1.67,  Val Acc: 34.33%,  Val Auc:    0.0,  Time: 0:08:28 *
2020-05-24 21:31:46,328 Iter:   3500,  Train Loss:  1.59,  Train Acc: 39.06%,  Val Loss:  1.67,  Val Acc: 34.56%,  Val Auc:    0.0,  Time: 0:08:43 *
2020-05-24 21:32:00,516 Iter:   3600,  Train Loss:  1.75,  Train Acc: 36.72%,  Val Loss:  1.66,  Val Acc: 34.79%,  Val Auc:    0.0,  Time: 0:08:57 *
2020-05-24 21:32:14,952 Iter:   3700,  Train Loss:  1.63,  Train Acc: 35.16%,  Val Loss:  1.66,  Val Acc: 35.07%,  Val Auc:    0.0,  Time: 0:09:12 *
2020-05-24 21:32:29,526 Iter:   3800,  Train Loss:  1.74,  Train Acc: 28.91%,  Val Loss:  1.65,  Val Acc: 35.28%,  Val Auc:    0.0,  Time: 0:09:26 *
2020-05-24 21:32:43,755 Iter:   3900,  Train Loss:  1.68,  Train Acc: 30.47%,  Val Loss:  1.65,  Val Acc: 35.38%,  Val Auc:    0.0,  Time: 0:09:40 *
2020-05-24 21:32:58,437 Iter:   4000,  Train Loss:   1.6,  Train Acc: 35.94%,  Val Loss:  1.64,  Val Acc: 35.49%,  Val Auc:    0.0,  Time: 0:09:55 *
2020-05-24 21:33:13,250 Iter:   4100,  Train Loss:  1.65,  Train Acc: 35.94%,  Val Loss:  1.64,  Val Acc: 35.40%,  Val Auc:    0.0,  Time: 0:10:10 *
2020-05-24 21:33:27,908 Iter:   4200,  Train Loss:  1.68,  Train Acc: 34.38%,  Val Loss:  1.64,  Val Acc: 35.72%,  Val Auc:    0.0,  Time: 0:10:24 *
2020-05-24 21:33:41,866 Iter:   4300,  Train Loss:   1.7,  Train Acc: 33.59%,  Val Loss:  1.63,  Val Acc: 35.82%,  Val Auc:    0.0,  Time: 0:10:38 *
2020-05-24 21:33:56,377 Iter:   4400,  Train Loss:  1.77,  Train Acc: 30.47%,  Val Loss:  1.63,  Val Acc: 35.86%,  Val Auc:    0.0,  Time: 0:10:53 *
2020-05-24 21:34:11,024 Iter:   4500,  Train Loss:  1.64,  Train Acc: 32.81%,  Val Loss:  1.63,  Val Acc: 35.83%,  Val Auc:    0.0,  Time: 0:11:08 *
2020-05-24 21:34:25,151 Iter:   4600,  Train Loss:  1.65,  Train Acc: 35.16%,  Val Loss:  1.62,  Val Acc: 35.90%,  Val Auc:    0.0,  Time: 0:11:22 *
2020-05-24 21:34:39,454 Iter:   4700,  Train Loss:  1.73,  Train Acc: 35.16%,  Val Loss:  1.62,  Val Acc: 36.20%,  Val Auc:    0.0,  Time: 0:11:36 *
2020-05-24 21:34:53,851 Iter:   4800,  Train Loss:  1.75,  Train Acc: 34.38%,  Val Loss:  1.62,  Val Acc: 36.45%,  Val Auc:    0.0,  Time: 0:11:50 *
2020-05-24 21:35:08,348 Iter:   4900,  Train Loss:  1.63,  Train Acc: 37.50%,  Val Loss:  1.61,  Val Acc: 36.46%,  Val Auc:    0.0,  Time: 0:12:05 *
2020-05-24 21:35:22,870 Iter:   5000,  Train Loss:  1.58,  Train Acc: 42.19%,  Val Loss:  1.61,  Val Acc: 36.42%,  Val Auc:    0.0,  Time: 0:12:19 *
2020-05-24 21:35:37,023 Iter:   5100,  Train Loss:  1.61,  Train Acc: 31.25%,  Val Loss:  1.61,  Val Acc: 36.62%,  Val Auc:    0.0,  Time: 0:12:34 *
2020-05-24 21:35:51,130 Iter:   5200,  Train Loss:  1.63,  Train Acc: 42.97%,  Val Loss:   1.6,  Val Acc: 36.58%,  Val Auc:    0.0,  Time: 0:12:48 *
2020-05-24 21:36:05,540 Iter:   5300,  Train Loss:  1.79,  Train Acc: 35.16%,  Val Loss:   1.6,  Val Acc: 36.90%,  Val Auc:    0.0,  Time: 0:13:02 *
2020-05-24 21:36:20,375 Iter:   5400,  Train Loss:  1.53,  Train Acc: 35.16%,  Val Loss:   1.6,  Val Acc: 36.91%,  Val Auc:    0.0,  Time: 0:13:17 *
2020-05-24 21:36:34,372 Iter:   5500,  Train Loss:  1.61,  Train Acc: 36.72%,  Val Loss:   1.6,  Val Acc: 36.94%,  Val Auc:    0.0,  Time: 0:13:31 *
2020-05-24 21:36:49,105 Iter:   5600,  Train Loss:   1.6,  Train Acc: 37.50%,  Val Loss:  1.59,  Val Acc: 37.16%,  Val Auc:    0.0,  Time: 0:13:46 *
2020-05-24 21:37:03,504 Iter:   5700,  Train Loss:  1.47,  Train Acc: 39.06%,  Val Loss:  1.59,  Val Acc: 37.28%,  Val Auc:    0.0,  Time: 0:14:00 *
2020-05-24 21:37:18,303 Iter:   5800,  Train Loss:  1.59,  Train Acc: 39.06%,  Val Loss:  1.59,  Val Acc: 37.22%,  Val Auc:    0.0,  Time: 0:14:15 *
2020-05-24 21:37:32,470 Iter:   5900,  Train Loss:  1.57,  Train Acc: 39.06%,  Val Loss:  1.59,  Val Acc: 37.43%,  Val Auc:    0.0,  Time: 0:14:29 *
