2020-05-24 01:29:59,514 Epoch [1/5]
2020-05-24 01:54:30,620 Iter:   3200,  Train Loss:  1.35,  Train Acc: 47.66%,  Val Loss:  1.39,  Val Acc: 42.97%,  Val Auc:    0.0,  Time: 0:24:31 
2020-05-24 01:55:19,465 Iter:   3300,  Train Loss:  1.39,  Train Acc: 42.97%,  Val Loss:  1.39,  Val Acc: 43.05%,  Val Auc:    0.0,  Time: 0:25:20 *
2020-05-24 01:56:05,884 Iter:   3400,  Train Loss:  1.34,  Train Acc: 47.66%,  Val Loss:  1.39,  Val Acc: 43.10%,  Val Auc:    0.0,  Time: 0:26:06 *
2020-05-24 01:56:45,245 Iter:   3500,  Train Loss:  1.27,  Train Acc: 43.75%,  Val Loss:  1.39,  Val Acc: 43.14%,  Val Auc:    0.0,  Time: 0:26:46 
2020-05-24 01:57:33,616 Iter:   3600,  Train Loss:  1.46,  Train Acc: 48.44%,  Val Loss:  1.39,  Val Acc: 43.37%,  Val Auc:    0.0,  Time: 0:27:34 *
2020-05-24 01:58:11,551 Iter:   3700,  Train Loss:  1.31,  Train Acc: 46.88%,  Val Loss:  1.39,  Val Acc: 43.02%,  Val Auc:    0.0,  Time: 0:28:12 
2020-05-24 01:58:58,466 Iter:   3800,  Train Loss:  1.41,  Train Acc: 42.97%,  Val Loss:  1.38,  Val Acc: 43.62%,  Val Auc:    0.0,  Time: 0:28:59 *
2020-05-24 01:59:36,802 Iter:   3900,  Train Loss:  1.31,  Train Acc: 47.66%,  Val Loss:  1.38,  Val Acc: 43.31%,  Val Auc:    0.0,  Time: 0:29:37 
2020-05-24 02:00:15,742 Iter:   4000,  Train Loss:  1.29,  Train Acc: 46.09%,  Val Loss:  1.38,  Val Acc: 43.42%,  Val Auc:    0.0,  Time: 0:30:16 
2020-05-24 02:01:02,719 Iter:   4100,  Train Loss:  1.35,  Train Acc: 48.44%,  Val Loss:  1.38,  Val Acc: 43.68%,  Val Auc:    0.0,  Time: 0:31:03 *
2020-05-24 02:01:50,348 Iter:   4200,  Train Loss:  1.34,  Train Acc: 50.78%,  Val Loss:  1.37,  Val Acc: 43.89%,  Val Auc:    0.0,  Time: 0:31:51 *
2020-05-24 02:02:37,351 Iter:   4300,  Train Loss:  1.57,  Train Acc: 34.38%,  Val Loss:  1.37,  Val Acc: 44.19%,  Val Auc:    0.0,  Time: 0:32:38 *
2020-05-24 02:03:16,651 Iter:   4400,  Train Loss:  1.49,  Train Acc: 44.53%,  Val Loss:  1.37,  Val Acc: 43.86%,  Val Auc:    0.0,  Time: 0:33:17 
2020-05-24 02:04:03,906 Iter:   4500,  Train Loss:  1.56,  Train Acc: 39.84%,  Val Loss:  1.36,  Val Acc: 44.19%,  Val Auc:    0.0,  Time: 0:34:04 *
2020-05-24 02:04:42,557 Iter:   4600,  Train Loss:  1.35,  Train Acc: 46.88%,  Val Loss:  1.38,  Val Acc: 43.76%,  Val Auc:    0.0,  Time: 0:34:43 
2020-05-24 02:05:30,167 Iter:   4700,  Train Loss:  1.41,  Train Acc: 43.75%,  Val Loss:  1.36,  Val Acc: 44.25%,  Val Auc:    0.0,  Time: 0:35:31 *
2020-05-24 02:06:17,742 Iter:   4800,  Train Loss:  1.43,  Train Acc: 39.84%,  Val Loss:  1.36,  Val Acc: 44.39%,  Val Auc:    0.0,  Time: 0:36:18 *
2020-05-24 02:06:57,228 Iter:   4900,  Train Loss:  1.33,  Train Acc: 46.88%,  Val Loss:  1.36,  Val Acc: 44.48%,  Val Auc:    0.0,  Time: 0:36:58 
2020-05-24 02:07:45,552 Iter:   5000,  Train Loss:  1.44,  Train Acc: 42.19%,  Val Loss:  1.36,  Val Acc: 44.37%,  Val Auc:    0.0,  Time: 0:37:46 *
